"","ppt","competent","smart","educated","intelligent","successful","sociable","friendly","nice","honest","pleasant","irritated","interested","enthusiastic","frustrated","annoyed","happy","trustworthy","easy","fluent","strong","affect","status","solidarity","country_native","country_nonnative","learn_future","P1_Q4","P1_Q5","decision_making","P2_Q4","P2_Q5","bet_before","expertise_betting","IN_ANALYSIS_AUDIO","IN_ANALYSIS_EXPERTISE","naturalness","exposure","speaker"
"193",326,8,8,8,8,7,5,6,6,7,7,8,3,3,7,7,5,6,4,6,7,5.5,7.8,6.2,"Bradford","French","Native speaker","Yes","2","Horse number 3 had more memorable positive words. Found it hard to understand the non-native especially with the first horse","How easy it is to make a decision based on the positive words you hear","Before the recording started the top images covered the last bit of instructions.","Yes","2","Yes","Yes",7,3,"nonnative"
"194",328,7,7,7,7,7,7,7,7,7,7,9,5,1,9,9,5,5,5,7,6,6.33333333333333,7,7,"England","No idea","Native speaker","No","1","Evenly but more towards the better sounding horses","To see if we are more inclined towards english sounding people.","","No","1","Yes","Yes",9,9,"native"
"195",329,8,8,8,8,8,8,8,8,8,8,9,6,5,9,9,8,7,9,9,7,7.66666666666667,8,8,"Spain","Manchester","Native speaker","No","1","The horse described in the most positive way was where I put most of the money","To see if people trust the native accent more. ","","No","1","Yes","Yes",9,9,"native"
"196",331,6,5,5,6,6,6,5,6,4,5,8,6,5,8,8,5,7,3,5,4,6.66666666666667,5.6,5.2,"Yorkshire?","Israel?","Non-native speaker","Yes","1","To be honest I was quite influenced by the pictures and names of the horses!","TO look at subconscious biases based on accents and linguistic ability.","The native speaker was slow, did not sound like they knew what they were talking about. lots of ums.","Yes","1","Yes","Yes",7,6,"nonnative"
"197",333,7,7,8,7,7,5,7,8,8,6,8,6,5,8,8,5,6,8,7,3,6.66666666666667,7.2,6.8,"England","Belgium","Non-native speaker","Yes","1","30, 30, 15, 25 going off key words used.","Potentially something about using advice from a native and a non-native speaker","N/A","Yes","1","Yes","Yes",5,6,"nonnative"
"198",334,7,7,6,6,6,5,5,5,6,6,6,3,2,8,8,2,5,8,8,7,4.83333333333333,6.4,5.4,"No","England","Non-native speaker","No","1","I listened carefully to the descriptions and tried to gauge which action would be best.","To see how people respond to fluent and non-fluent speakers when making a judgement. ","","No","1","Yes","Yes",9,8,"native"
"199",335,9,9,9,9,9,9,9,9,9,9,9,7,7,9,9,1,7,9,7,7,7,9,9,"No","No","Non-native speaker","Yes","1","Most confident statment","preferance on race","na","Yes","1","Yes","Yes",9,9,"nonnative"
"200",336,9,9,8,8,5,6,7,8,7,8,9,8,6,9,9,6,9,9,9,5,7.83333333333333,7.8,7.2,"Southern England","France","Native speaker","No","1","I did equal bets for each horse","If we are biased towards non native speakers","","No","1","Yes","Yes",8,9,"native"
"201",338,8,9,9,9,8,8,8,8,9,8,9,9,8,9,9,8,9,8,9,6,8.66666666666667,8.6,8.2,"Manchester","Spain","Non-native speaker","Yes","1","Based on the strength of the horse, i.e. less money for one that seems more likely to be runner-up","To see if we find non-native accents less trustworthy or reliable","","Yes","1","Yes","Yes",7,5,"nonnative"
"202",340,6,6,6,7,6,5,6,6,8,7,8,5,5,8,9,4,6,8,8,7,6.5,6.2,6.4,"UK","Spain","Native speaker","Yes","2","I went with the information given and the confidence that I felt from the facts given to me","To see if non-native speakers and native speakers have a different level of trustworthiness  ","n/a","Yes","2","Yes","Yes",4,6,"nonnative"
"203",341,6,6,7,7,6,6,6,6,6,8,5,3,3,4,4,3,7,4,5,7,3.66666666666667,6.4,6.4,"northern England","italy","Native speaker","No","1","I put a lower amount on each, based on the fluency of the speaker talking and tried to put an even amount on each but little enough that I wouldn't be upset if I lost ","to see if people favour native or non native speakers","","No","1","Yes","Yes",5,3,"nonnative"
"204",342,9,9,9,8,8,9,9,9,8,9,9,1,7,9,9,7,9,9,9,7,7,8.6,8.8,"Poland","Manchester","Non-native speaker","No","1","I distributed them equally as it was the easiest to do.","The aim was to see if there was much of a difference between the native and non native English speaker.","","No","1","Yes","Yes",9,8,"native"
"205",343,8,7,7,8,7,8,7,7,6,8,9,8,6,9,9,6,8,9,9,5,7.83333333333333,7.4,7.2,"Not sure, honest!","England","Native speaker","Yes","3","Listened to what they said and thought about whether it seemed likely or not it would win, really.","","","Yes","3","Yes","Yes",7,9,"native"
"206",348,7,7,5,6,7,5,8,8,6,8,9,7,5,9,9,5,5,8,8,7,7.33333333333333,6.4,7,"UK","eastern europe","Non-native speaker","Yes","1","Where the strongest recommendations were, with smaller placed on those more in question","Confidence in the ability of non-native speakers?","","Yes","1","Yes","Yes",7,9,"native"
"207",349,7,8,7,8,8,5,5,6,7,6,9,6,6,9,9,5,7,8,9,6,7.33333333333333,7.6,5.8,"England","Portugal","Non-native speaker","No","1","Just on how well the speaker advocated for the horse","Whether where a speaker is from has any impact on how trustworthy they are","N/A","No","1","Yes","Yes",8,9,"native"
"208",352,4,5,6,6,6,5,5,5,5,6,7,4,3,9,9,3,6,3,8,3,5.83333333333333,5.4,5.2,"Manchester","France","Non-native speaker","Yes","1","guess based on the speakers","to do with speakers","","Yes","1","Yes","Yes",6,4,"nonnative"
"209",353,9,6,8,8,7,8,8,7,8,8,3,8,7,4,8,7,8,9,9,6,6.16666666666667,7.6,7.8,"England","Poland","Native speaker","Yes","2","On the descriptions given","How much to trust someone based on their accent","","Yes","2","Yes","Yes",7,9,"native"
"210",354,9,9,9,9,9,5,8,9,9,9,9,5,5,9,9,2,8,9,7,7,6.5,9,8,"England","Asia","Native speaker","No","1","I distributed them equally","To judge how we felt about a non-native speaker","none.","No","1","Yes","Yes",9,3,"nonnative"
"211",355,8,8,9,8,9,6,7,7,8,8,9,5,4,9,9,5,7,9,7,6,6.83333333333333,8.4,7.2,"North england","India","Native speaker","No","1","From how well the horses were explained by the speaker and how good they made them sound","To see how we perceive different accents and how much we trust what they say.","","No","1","Yes","Yes",7,9,"nonnative"
"212",356,6,8,6,7,7,6,7,8,6,6,8,4,6,6,7,6,7,5,6,7,6.16666666666667,6.8,6.6,"UK","Spain","Non-native speaker","Yes","2","Based on their view of the horse and its previous successes","See4 if we find non-native speakers less informative or trustworthy","The English accent was frustrating and untrustworthy due to the erm uhm errr all the way through it, made it really difficult to focus on what she was saying.","Yes","2","Yes","Yes",8,7,"nonnative"
"213",358,4,6,6,6,5,5,7,7,4,4,7,6,3,9,8,7,6,9,9,7,6.66666666666667,5.4,5.4,"Scotland","Scandinavian country ","Non-native speaker","Yes","1","information given from the speaker","to see if the speakers accent/nationality influences their perceived credibility","","Yes","1","Yes","Yes",5,9,"native"
"214",359,8,6,7,6,7,6,7,7,7,7,8,5,4,9,9,6,6,9,8,9,6.83333333333333,6.8,6.8,"Liverpool","Romania","Native speaker","Yes","3","by the positive things each person said; and how many positive things which were mentioned","To see how accents influence our decision making","","Yes","3","Yes","Yes",7,8,"native"
"215",363,3,2,2,2,3,3,5,3,6,3,3,3,2,2,1,2,4,9,9,6,2.16666666666667,2.4,4,"England","Romania","Non-native speaker","No","1","Mostly the content of the words as opposed to how they were delivered","To understand how trustworthy people find non-native and native accents","","No","1","Yes","Yes",6,8,"native"
"216",366,8,7,6,7,7,5,8,7,7,6,7,7,5,8,8,5,6,7,6,7,6.66666666666667,7,6.6,"UK","Spain","Native speaker","Yes","1","Based on how strong the horses were and how well they've done recently","To see if your opinion changes based on who you're hearing the information from (native or non-native speaker)","","Yes","1","Yes","Yes",4,7,"nonnative"
"217",367,5,5,5,5,5,5,7,7,7,8,9,8,6,9,9,7,7,6,6,6,8,5,6.8,"England","Norway","Non-native speaker","No","1","Based on the previous performances of the horses","to see the effect of accents on decision making","","No","1","Yes","Yes",6,7,"nonnative"
"218",368,6,6,6,6,7,6,7,7,7,7,3,5,5,2,3,5,6,3,4,8,3.83333333333333,6.2,6.8,"England","I'm not sure","Native speaker","No","1","I tried to go off the information given to me based on their past performance.","To test whether horses with a native speaker description would get higher bets","","No","1","Yes","Yes",4,3,"nonnative"
"219",369,7,6,6,6,7,5,7,7,6,6,3,7,7,5,3,7,5,8,7,4,5.33333333333333,6.4,6.2,"south America ","not sure","Native speaker","No","1","listening to the descriptions ","to see if the instructions ","You have NaN pounds left.   - there was an error. ","No","1","Yes","Yes",7,7,"native"
"220",370,5,6,6,5,5,6,6,7,6,7,8,4,3,8,8,5,7,5,4,7,6,5.4,6.4,"Wales","Spain","Non-native speaker","Yes","2","A guess on an idea of their likelihood to win the race","To see if the accents of the experts impacted on my estimation of if the horse would win","","Yes","2","Yes","Yes",7,5,"nonnative"
"221",371,6,6,6,6,6,6,5,6,6,6,9,1,1,9,9,1,7,9,8,5,5,6,5.8,"united kingdom","eastern europe","Native speaker","Yes","1","25% chance for each of them","to assess our opinions on language","","Yes","1","Yes","Yes",7,9,"native"
"222",378,4,3,4,4,4,3,4,4,3,4,6,2,2,6,6,1,5,7,7,8,3.83333333333333,3.8,3.6,"uk","no","Native speaker","No","1","evenly","perceptions of accents","","No","1","Yes","Yes",9,4,"native"
"223",379,7,6,6,6,7,6,5,6,7,6,8,6,5,8,8,6,6,9,9,4,6.83333333333333,6.4,6,"england","india","Native speaker","Yes","2","which horses seemed most promising ","comparing accents","","Yes","2","Yes","Yes",6,9,"native"
"224",380,8,8,8,7,7,7,7,8,8,7,9,7,5,8,9,6,6,9,9,4,7.33333333333333,7.6,7.4,"United Kingdom","Eastern Europe","Non-native speaker","Yes","1","By how the speaker described the horses","To see how people trust people of different backgrounds when putting money on a bet","","Yes","1","Yes","Yes",9,9,"native"
"225",385,6,7,7,7,4,5,6,7,8,7,4,2,3,4,4,3,1,8,7,3,3.33333333333333,6.2,6.6,"England","n/a","Native speaker","Yes","1","the amount of hesitations in speech ","","","Yes","1","Yes","Yes",8,7,"nonnative"
"226",389,7,6,6,6,6,6,6,6,7,7,9,6,6,9,9,5,5,8,7,7,7.33333333333333,6.2,6.4,"No idea!","France","Non-native speaker","Yes","1","Based on the information about the horses past performances and experience. Also, how confident I perceived the speaker to be. For the first and last audio recording, the speakers said 'uh' and were less fluent in their answers, which left me feeling less certain of the information provided. ","To explore whether people trust the opinion of people with similarities to them (i.e. accent) - that they feel more alike with","","Yes","1","Yes","Yes",6,8,"nonnative"
"227",393,8,7,4,4,3,8,3,4,3,4,8,3,3,7,9,2,6,9,9,7,5.33333333333333,5.2,4.4,"Birmingham","Poland","Native speaker","Yes","1","By past performance as described","To understand how different accents/native or non native impacts how we trust voices","","Yes","1","Yes","Yes",8,9,"native"
"228",394,5,5,4,5,4,4,3,3,5,4,2,5,4,3,2,4,4,3,6,5,3.33333333333333,4.6,3.8,"manchester","france","Native speaker","No","1","Listened to their advice","To see which opinion we value more","","No","1","Yes","Yes",7,9,"native"
"229",395,7,6,6,6,7,7,8,6,7,7,7,5,4,8,8,4,6,6,5,3,6,6.4,7,"London","India","Native speaker","Yes","1","Guesswork","Trust in native speakers vs non native speakers","","Yes","1","Yes","Yes",4,5,"nonnative"
"230",396,3,4,3,3,4,3,5,5,4,4,4,3,2,6,6,2,4,9,9,6,3.83333333333333,3.4,4.2,"Spain","Yorkshire","Non-native speaker","Yes","1","Based on the voice and the confidence they spoke at","To view opinions on native vs non-native speakers and how it influences our decisions ","","Yes","1","Yes","Yes",7,9,"native"
"231",398,6,6,6,6,6,5,5,5,7,5,8,5,4,9,9,5,6,9,9,5,6.66666666666667,6,5.4,"Northern England","South Asia","Non-native speaker","Yes","1","I decided to split them between the horses that sounded the best.","To see if people bet less on the non-native speaker.","","Yes","1","Yes","Yes",5,9,"native"
"232",400,4,5,5,5,5,5,5,5,5,5,8,3,2,8,8,2,5,5,6,4,5.16666666666667,4.8,5,"England","Spain","Non-native speaker","Yes","1","Gut feeling and judgement of description","effect of accents when money is at stake","","Yes","1","Yes","Yes",7,7,"nonnative"
"233",402,4,4,5,5,5,4,4,4,7,4,6,4,4,8,8,5,5,8,6,7,5.83333333333333,4.6,4.6,"Scotland","Italy","Native speaker","Yes","1","Based on the information provided and how enthusiastic the language was about the horses.","To study variables in native and non-native accents, language and tone.","","Yes","1","Yes","Yes",7,7,"native"
"234",404,6,6,6,6,7,3,3,4,5,5,4,3,2,5,5,4,6,7,7,8,3.83333333333333,6.2,4,"England","Spain","Non-native speaker","Yes","1","I listened to the feedback and judged it based on what the speakers said. For example, if they reported there was confidence in the horse from officials then I felt it was a safe bet.","To determine how you take in information dependant on the speaker and accent.","","Yes","1","Yes","Yes",4,7,"native"
"235",405,4,3,3,3,4,4,3,4,7,4,6,3,2,6,6,4,5,7,8,6,4.5,3.4,4.4,"Midlands","Eastern Europe","Non-native speaker","Yes","1","Based on the likelihood of the horse winning","To see if accent  of speaker affected horse betting.","","Yes","1","Yes","Yes",6,9,"native"
"236",406,7,8,7,7,7,7,7,7,7,7,8,6,6,8,8,6,7,6,6,6,7,7.2,7,"no","no","Non-native speaker","Yes","1","from the tips","not sure","","Yes","1","Yes","Yes",8,9,"native"
"237",408,5,5,6,4,4,4,4,4,6,3,3,3,3,5,5,3,4,4,4,5,3.66666666666667,4.8,4.2,"England","Spain","Non-native speaker","Yes","2","fairly even but tried to pick a favourite","betting on horses","","Yes","2","Yes","Yes",7,3,"native"
"238",409,5,5,5,5,6,5,4,5,6,5,8,4,3,8,9,5,4,8,9,3,6.16666666666667,5.2,5,"England","France","Non-native speaker","Yes","2","I found it easier to understand the native speaker and they appeared more confident in the information given.","To assess the perceived trustworthiness/knowledge of a native speaker to a non-native speaker.","","Yes","2","Yes","Yes",6,9,"native"
"239",411,4,4,5,5,5,1,2,4,4,3,3,3,2,2,2,5,2,8,7,3,2.83333333333333,4.6,2.8,"France","Scotland","Non-native speaker","Yes","1","Based on how confident the speakers tone was and the context of their speech","Unsure, gambling related but somehow something to do with language? Maybe the impact of accent on tipsters?","Nice survey, good luck with your conclusions","Yes","1","Yes","Yes",4,9,"native"
"240",413,5,6,4,5,6,5,5,4,5,4,6,4,4,6,4,4,5,4,9,7,4.66666666666667,5.2,4.6,"Scotland","Poland","Non-native speaker","Yes","1","On the advice","Perception of non-native speakers","n/a","Yes","1","Yes","Yes",6,8,"native"
"241",415,5,3,6,4,5,6,4,2,8,6,4,4,2,4,6,8,6,5,5,3,4.66666666666667,4.6,5.2,"England","Italy","Native speaker","Yes","3","at Random","To see how somebody's accent affects credibility","","Yes","3","Yes","Yes",8,9,"native"
"242",416,6,5,8,7,7,7,7,7,7,7,8,7,7,5,5,5,5,3,5,7,6.16666666666667,6.6,7,"France","England","Native speaker","No","1","Depending on how the horses had done in previous races.","How people percieve non-native speakers.","","No","1","Yes","Yes",6,4,"nonnative"
"243",420,7,7,6,6,6,6,8,8,7,7,7,3,4,8,8,6,8,8,9,3,6,6.4,7.2,"United Kingdom","Spain","Native speaker","Yes","1","The ones that were described with most confidence got the most money.","","","Yes","1","Yes","Yes",7,9,"native"
"244",422,4,5,5,5,5,2,2,6,6,4,9,3,2,9,9,5,6,9,9,4,6.16666666666667,4.8,4,"Somewhere in North Yorkshire","France","Native speaker","Yes","2","Distributed equally leaving myself some money as I didnt think the descriptions gave me much to go on. ","How much we trust native speakers over non natives. ","","Yes","2","Yes","Yes",6,8,"native"
"245",424,7,5,6,7,7,7,8,7,7,8,9,6,5,9,9,5,7,8,9,6,7.16666666666667,6.4,7.4,"Yorkshire","France","Native speaker","No","1","Based on information provided about the horses","Opinions on native/non-native spoken English","","No","1","Yes","Yes",7,9,"native"
"246",425,2,2,3,3,2,2,2,3,3,3,4,1,1,4,4,1,2,4,5,6,2.5,2.4,2.6,"Birmingham","Sweden","Non-native speaker","Yes","2","I put more money on horses that the speakers told me 'were a runner up in a previous race' for example. Not just 'he's doing well'...","To see who we trust more, native speakers or non-native speakers","","Yes","2","Yes","Yes",9,9,"native"
"247",428,3,3,3,3,3,2,1,2,4,2,4,2,2,6,5,3,3,7,9,5,3.66666666666667,3,2.2,"liverpool","spain","Non-native speaker","No","1","Based on how knowledgeable the speaker sounded and their interest in what they were saying","How racial bias affects betting? ","","No","1","Yes","Yes",7,9,"native"
"248",429,8,8,8,8,8,8,9,9,8,8,9,6,6,9,9,6,7,8,8,5,7.5,8,8.4,"no ","spain","Non-native speaker","Yes","1","based on the confidence of the words spoken ","not sure ","","Yes","1","Yes","Yes",7,9,"nonnative"
"249",432,5,5,4,5,4,2,4,4,6,4,7,3,1,4,3,5,6,3,3,4,3.83333333333333,4.6,4,"north?","spain?","Native speaker","No","1","based on what they said but also a bit randomly","","it screened me out even though i met the criteria but i think that was a glitch because then it continued and i completed the whole survey","No","1","Yes","Yes",5,5,"nonnative"
"250",434,6,7,7,7,6,5,6,7,6,6,7,3,4,7,7,3,6,5,6,5,5.16666666666667,6.6,6,"Hull","Italy","Non-native speaker","Yes","2","Based on the enthusiasm about the horses shown by the speakers.","To see whether accent makes a difference in taking advice.","N/A","Yes","2","Yes","Yes",6,7,"nonnative"
"251",435,6,7,7,7,7,7,7,7,6,7,9,6,5,5,9,5,8,9,8,9,6.5,6.8,6.8,"france","america","Non-native speaker","Yes","1","evenly","not a clue","","Yes","1","Yes","Yes",9,2,"nonnative"
"252",436,7,6,6,6,6,5,5,4,6,5,9,6,6,8,9,5,6,9,9,2,7.16666666666667,6.2,5,"England","Italy","Non-native speaker","Yes","2","Based on what they said about the horses","","","Yes","2","Yes","Yes",7,9,"native"
"253",438,6,6,7,7,7,6,6,6,7,6,8,5,3,9,9,5,7,7,9,2,6.5,6.6,6.2,"Britain","China","Non-native speaker","Yes","1","The information about the horses and how well they'd done previously","Whether people judge non-native speakers differently to native speakers","","Yes","1","Yes","Yes",6,8,"native"
"254",439,9,9,9,9,9,8,8,7,8,9,9,5,5,8,9,6,8,9,7,8,7,9,8,"manchester","spain","Non-native speaker","Yes","1","based on the information provided ","how information is provided effecting decisions made","","Yes","1","Yes","Yes",4,2,"nonnative"
"255",440,5,4,5,5,4,3,6,7,6,6,3,2,2,5,4,2,3,7,7,3,3,4.6,5.6,"No","No","Native speaker","Yes","2","Equally but low to avoid big losses and because none of the horses were spoken about enthusiastically","Not sure","","Yes","2","Yes","Yes",7,9,"native"
"256",444,6,3,6,3,5,1,5,5,5,2,2,2,1,2,2,2,2,7,6,7,1.83333333333333,4.6,3.6,"Yorkshire","France","Non-native speaker","No","1","Based on the information as to how the horses have been performing","How well accents can be understood","","No","1","Yes","Yes",6,8,"native"
"257",445,7,8,8,8,8,6,6,7,8,6,8,5,5,6,9,5,6,7,9,9,6.33333333333333,7.8,6.6,"UK","Poland","Non-native speaker","Yes","1","split amongst the 4 horses","to understand people's perception of native and non-native speakers","","Yes","1","Yes","Yes",6,5,"nonnative"
"258",446,8,6,6,6,5,6,6,7,6,6,9,8,6,9,9,5,7,7,7,7,7.66666666666667,6.2,6.2,"england","asia","Native speaker","Yes","3","25 on each split evenly","to see the difference in trust of two accents","","Yes","3","Yes","Yes",5,5,"native"
"259",447,2,4,5,5,5,2,6,6,4,5,3,4,3,4,5,3,3,5,3,5,3.66666666666667,4.2,4.6,"yorkshire","poland","Native speaker","Yes","3","the statistics on the horses, putting more money on the horses i felt would be more likely to win","to see if people bet more on the horse that is being spoken about by the native speaker","","Yes","3","Yes","Yes",4,6,"nonnative"
"260",451,7,7,6,6,6,4,5,5,5,4,7,6,6,7,7,2,6,5,9,8,5.83333333333333,6.4,4.6,"Newcastle","India","Non-native speaker","Yes","1","I listened to the information they were talking about.","Language and persuasiveness?","","Yes","1","Yes","Yes",4,9,"native"
"261",452,7,6,6,4,4,5,7,8,5,8,9,1,4,6,8,5,5,8,7,9,5.5,5.4,6.6,"England","Spain","Native speaker","Yes","1","From performance and ability","distinguish between accents","","Yes","1","Yes","Yes",6,7,"nonnative"
"262",454,7,7,6,7,7,9,9,9,5,7,9,6,5,8,9,7,7,8,6,8,7.33333333333333,6.8,7.8,"Birmingham","Portugal","Non-native speaker","Yes","2","All on the first horse","Possibly seeing how the speaker / tone / accent could affect decision making.","Great survey, would love to participate in similar again.","Yes","2","Yes","Yes",4,8,"nonnative"
"263",456,6,5,5,5,5,7,6,6,6,6,4,3,3,5,6,3,5,7,7,7,4,5.2,6.2,"england","spain","Native speaker","Yes","2","how good they made the horses sound","relativity between accents and competency ","","Yes","2","Yes","Yes",8,8,"native"
"264",458,2,5,4,5,5,5,5,5,5,5,3,2,1,2,5,3,5,2,3,4,2.66666666666667,4.2,5,"Coventry","The Netherlands","Non-native speaker","No","1","Based on how convinced I was by the speaker","To see how people respond to different fluency and language","","No","1","Yes","Yes",9,9,"native"
"265",459,9,7,8,8,8,9,8,8,7,5,2,7,6,3,3,9,7,8,8,9,5,8,7.4,"n/a","n/a","Native speaker","No","1","i weighed it up evenly","to test processing info from different dialects","","No","1","Yes","Yes",6,6,"native"
"266",460,8,8,8,8,7,7,8,8,7,8,8,6,5,8,8,5,7,9,8,6,6.66666666666667,7.8,7.6,"UK","Spain","Non-native speaker","Yes","1","I just did it equally","How much I would bet depending on whether the speaker was native or not","","Yes","1","Yes","Yes",7,8,"native"
"267",462,6,6,6,6,6,5,5,5,5,5,4,2,1,6,6,4,5,8,8,2,3.83333333333333,6,5,"England","Spain","Non-native speaker","No","1","Horse descriptions","Confidence in information provided by non-native speakers","","No","1","Yes","Yes",6,9,"native"
"268",463,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,"England","Sweden","Native speaker","No","1","Apocalypse was the first I saw","To see if a narration would have an effect on betting","","No","1","Yes","Yes",5,8,"native"
"269",465,6,6,7,6,7,4,7,6,7,8,9,3,3,9,9,5,5,9,9,3,6.33333333333333,6.4,6.4,"England","Unsure","Native speaker","No","1","I didn't think it really mattered how I distributed the bets as the money was not real, I put higher bets on the horses that I felt were described well","To see how the speaker impacts how people make decisions","","No","1","Yes","Yes",4,9,"native"
"270",466,8,7,7,7,6,7,7,7,7,8,9,7,6,9,9,4,5,7,7,6,7.33333333333333,7,7.2,"England?","No idea","Non-native speaker","Yes","1","I was expecting to hear about perhaps how many races they'd run things like that, I didn't feel that there was a lot of useful informaiton about the horses, so i ended up doing it evenly. Although the non-native seemed to be more enthusiatic about the first two horses. ","Ability to be influenced by native and non-native accents. ","Nothing to add, good luck!","Yes","1","Yes","Yes",8,7,"nonnative"
"271",469,5,5,5,6,6,4,5,5,6,4,7,3,2,3,3,2,7,6,8,3,3.33333333333333,5.4,4.8,"London","India","Non-native speaker","Yes","1","I put lower money on the horses that didn't sound like they had much chance of winning and the highest on the horse who seemed the favourite.","","","Yes","1","Yes","Yes",5,9,"native"
"272",471,6,6,6,6,5,3,4,4,5,6,4,4,4,3,4,5,6,7,6,6,4,5.8,4.4,"North of England","Spain","Native speaker","Yes","1","Based on trusting the person and what they said about how good the horse was ","Asses our bias around accents ","","Yes","1","Yes","Yes",7,3,"nonnative"
"273",475,6,6,6,6,6,5,6,7,6,6,6,3,3,7,7,5,5,4,6,7,5.16666666666667,6,6,"London","Poland","Native speaker","Yes","2","I trusted the horses more if they had been racing for longer","To look for prejudice and discrimination based on accent","","Yes","2","Yes","Yes",7,5,"nonnative"
"274",476,7,7,7,7,7,7,7,7,7,7,9,7,6,4,9,6,7,8,8,5,6.83333333333333,7,7,"no","no","Non-native speaker","No","1","most confident about speaking abou the horses","not sure","","No","1","Yes","Yes",6,8,"nonnative"
"275",478,7,7,7,7,7,5,5,5,5,5,9,6,6,9,9,5,6,7,7,5,7.33333333333333,7,5,"America ","unsure","Non-native speaker","No","1","listening for any positive comments  ","placing bets on information given to you","","No","1","Yes","Yes",7,9,"native"
"276",479,6,7,7,6,5,4,6,6,7,6,7,5,3,8,7,5,6,4,4,3,5.83333333333333,6.2,5.8,"Ireland","Western-Asia","Non-native speaker","Yes","1","On how enthusiastic the speakers were and the comments made about each horse.","Perceptions based on accent and voice.","","Yes","1","Yes","Yes",6,6,"nonnative"
"277",483,7,6,5,5,5,3,6,3,7,8,9,6,8,9,9,8,7,9,9,4,8.16666666666667,5.6,5.4,"Scotland","India","Native speaker","Yes","2","based on the wording they used and also bearing in mind that I hadn't heard about the other horses yet","To see if betting behaviour changes in native vs non native speaking","","Yes","2","Yes","Yes",7,9,"native"
"278",484,8,9,9,7,7,8,9,8,8,9,9,8,7,9,9,6,9,9,8,4,8,8,8.4,"England","Mexico","Non-native speaker","Yes","3","After listening to them all together i decided to change my bets to what i thought sounded more trustworthy","To see which speaker was more understandable ","great enjoyable survey ","Yes","3","Yes","Yes",5,1,"nonnative"
"279",485,7,7,8,7,6,7,5,7,7,8,9,5,4,9,9,5,5,8,9,8,6.83333333333333,7,6.8,"Manchester","France","Non-native speaker","No","1","By the past of the horse and it's winnings","To see whether people think differently about non-native speakers and trust them less","","No","1","Yes","Yes",4,9,"native"
"280",488,7,7,7,7,8,6,7,7,7,6,6,5,4,4,6,5,7,6,7,6,5,7.2,6.6,"Somewhere North","Israel","Non-native speaker","No","1","I tried to determine how confident they sounded in the recordings and listened to the positivity of their vocabulary","To determine whether people make judgments based on the fluency of language and whether accents affect this","","No","1","Yes","Yes",5,7,"nonnative"
"281",489,4,5,6,6,5,4,4,6,5,6,8,6,6,7,7,5,5,3,3,6,6.5,5.2,5,"UK","France","Non-native speaker","Yes","1","based on form, detail of previous","view biases based on our perception of language - did more choose the native speaker etc","","Yes","1","Yes","Yes",7,8,"nonnative"
"282",490,4,5,5,5,4,3,3,3,4,4,4,5,4,4,5,4,4,4,4,6,4.33333333333333,4.6,3.4,"Yorkshire","France","Native speaker","No","1","Based upon the information I could hear and understand completely.","To see how behaviour changes when listening to both native and non-native speakers","","No","1","Yes","Yes",6,2,"nonnative"
"283",491,4,4,5,5,5,5,4,5,5,4,5,5,1,9,8,2,5,8,8,5,5,4.6,4.6,"uk","spain","Native speaker","No","1","listening to the information, also how smooth it was","how an accent can affect things such as decisions","","No","1","Yes","Yes",4,8,"native"
"284",497,9,9,8,8,8,8,7,6,7,6,2,8,6,2,3,7,8,9,9,9,4.66666666666667,8.4,6.8,"manchester","colombia","Native speaker","Yes","3","based on the info given","see the difference in trustworthness of uk vs non uk natives","","Yes","3","Yes","Yes",7,7,"native"
"285",498,6,6,7,7,5,3,5,5,5,6,7,5,5,8,8,5,5,8,9,8,6.33333333333333,6.2,4.8,"Spain","Yorkshire, England","Native speaker","Yes","1","Based on statistics and form","To determine whether peoples betting behaviour differs depending on the speaker","","Yes","1","Yes","Yes",6,9,"native"
"286",500,5,5,6,6,6,4,6,6,5,5,7,3,2,9,9,3,7,6,5,5,5.5,5.6,5.2,"UK","Spain","Native speaker","No","1","Based it on what was said about the horses","To see if the accent affected our choice of bet","","No","1","Yes","Yes",7,2,"nonnative"
"287",501,5,5,5,5,5,4,4,5,5,5,5,2,2,8,8,5,5,4,7,2,5,5,4.6,"Yorkshire","France","Non-native speaker","Yes","1","Whether I heard positive reassuring things","","","Yes","1","Yes","Yes",6,9,"native"
"288",503,8,7,6,6,7,6,7,8,8,8,9,7,7,9,3,6,7,8,7,5,6.83333333333333,6.8,7.4,"England","spain","Non-native speaker","Yes","1","I only put a little amount on the first 3 horses as i was not confident in them so then i had a lot of money to place on the 4th horse still","too see if the sound of a person changes your opinion on their knowledge.","n/a","Yes","1","Yes","Yes",5,8,"native"
"289",504,5,7,6,7,6,8,8,7,7,7,6,7,6,7,7,6,7,5,6,6,6.5,6.2,7.4,"scotland","spain","Native speaker","No","1","i listened to the content ","to detect bias","","No","1","Yes","Yes",5,6,"nonnative"
